,Gujarati,Tags
0,"['કેટલીક', 'વસ્તુઓ', 'બગાડ', 'ન', 'થાય', 'તે', 'માટે', 'ઇરાદાપૂર્વક', 'એકત્રિત', 'કરવામાં', 'આવે', 'છે']","['Pronoun', 'Noun', 'Noun', 'Adverb', 'Verb', 'Conjunction', 'Preposition', 'Adverb', 'Adjective', 'Verb', 'Verb', 'Verb']"
1,"['આમાંથી', 'સ્ટ્રિંગ', 'અને', 'બ્રાઉન', 'પેપર', 'છે', 'જ્યારે', 'પાર્સલ', 'ખોલવામાં', 'આવે', 'ત્યારે', 'ત્રીજા', 'લોકો', 'દ્વારા', 'રાખવામાં', 'આવે', 'છે']","['Preposition', 'Noun', 'Conjunction', 'Adjective', 'Noun', 'Verb', 'Adverb', 'Noun', 'Verb', 'Verb', 'Conjunction', 'Adjective', 'Noun', 'Preposition', 'Verb', 'Verb', 'Verb']"
2,"['નાની', 'વસ્તુઓ', 'એકઠી', 'કરવી', 'એ', 'ઘેલછા', 'હોઈ', 'શકે', 'છે']","['Noun', 'Noun', 'Adjective', 'Verb', 'Determinant', 'Verb', 'Verb', 'Verb', 'Verb']"
3,"['એક', 'મહિલા', 'મોડેલ', 'કપડાના', 'અખબારના', 'સ્કેચમાંથી', 'કાપ', 'કરે', 'છે', 'જે', 'તેણી', 'પાસે', 'પૈસા', 'હોય', 'તો', 'ખરીદવા', 'ગમશે']","['Determinant', 'Noun', 'Noun', 'Adjective', 'Adjective', 'Preposition', 'Noun', 'Verb', 'Verb', 'Pronoun', 'Pronoun', 'Adverb', 'Noun', 'Pronoun', 'Verb', 'Verb', 'Verb']"
4,"['કારણ', 'કે', 'તેણી', 'શ્રીમંત', 'નથી', 'શક્યતા', 'છે', 'કે', 'તે', 'ક્યારેય', 'આવી', 'ખરીદી', 'કરી', 'શકશે', 'નહીં']","['Noun', 'Determinant', 'Pronoun', 'Noun', 'Verb', 'Noun', 'Verb', 'Determinant', 'Conjunction', 'Adverb', 'Verb', 'Noun', 'Verb', 'Verb', 'Interjection']"
5,"['તે', 'હાનિકારક', 'ટેવ', 'છે', 'પરંતુ', 'તે', 'તેના', 'ડેસ્ક', 'ઉપર', 'પથરાય', 'છે']","['Conjunction', 'Adjective', 'Noun', 'Verb', 'Conjunction', 'Conjunction', 'Pronoun', 'Noun', 'Preposition', 'Verb', 'Verb']"
6,"['ગંભીર', 'શોખ', 'તરીકે', 'એકત્રિત', 'કરવું', 'એકદમ', 'અલગ', 'છે', 'અને', 'તેના', 'ઘણા', 'ફાયદા', 'છે']","['Adjective', 'Noun', 'Adverb', 'Adjective', 'Verb', 'Adverb', 'Noun', 'Verb', 'Conjunction', 'Pronoun', 'Determinant', 'Noun', 'Verb']"
7,"['તે', 'નવરાશના', 'કલાકો', 'માટે', 'આરામ', 'આપે', 'છે', 'કેમ', 'કે', 'કોઈના', 'ખજાનો', 'જોવામાં', 'હંમેશા', 'આનંદ', 'રહે', 'છે']","['Conjunction', 'Adjective', 'Noun', 'Preposition', 'Noun', 'Verb', 'Verb', 'Adverb', 'Determinant', 'Pronoun', 'Noun', 'Verb', 'Adverb', 'Noun', 'Verb', 'Verb']"
8,"['ઘરમાંથી', 'સંગ્રહ', 'રાખેલ', 'હોવાથી', 'કોઈને', 'મનોરંજન', 'માટે', 'બહાર', 'જવુ', 'પડતું', 'નથી']","['Preposition', 'Noun', 'Verb', 'Verb', 'Pronoun', 'Noun', 'Preposition', 'Adverb', 'Verb', 'Verb', 'Verb']"
9,"['તેમાં', 'જે', 'પણ', 'શામેલ', 'છે', 'સ્ટેમ્પ્સ', 'રેકોર્ડ્સ', 'પુસ્તકોની', 'પ્રથમ', 'આવૃત્તિઓ', 'ચાઇના', 'સંદર્ભ', 'પુસ્તકોમાં', 'તથ્યોની', 'ચકાસણી', 'કરવા', 'માટે', 'નવીનતમ', 'ઉમેરો', 'માટે', 'યોગ્ય', 'સ્થાન', 'શોધવાથી', 'લઈને', 'હંમેશાં', 'તેના', 'સંબંધમાં', 'કંઈક', 'કરવાનું', 'છે']","['Pronoun', 'Pronoun', 'Pronoun', 'Adjective', 'Verb', 'Noun', 'Noun', 'Adjective', 'Adjective', 'Noun', 'Noun', 'Preposition', 'Noun', 'Noun', 'Noun', 'Verb', 'Preposition', 'Adjective', 'Verb', 'Preposition', 'Adjective', 'Noun', 'Verb', 'Postposition', 'Adverb', 'Pronoun', 'Noun', 'Pronoun', 'Verb', 'Verb']"
10,"['આ', 'શોખ', 'વ્યક્તિને', 'ફક્ત', 'પસંદ', 'કરેલા', 'વિષયમાં', 'જ', 'નહીં', 'પરંતુ', 'સામાન્ય', 'બાબતોમાં', 'પણ', 'શિક્ષિત', 'કરે', 'છે', 'જેનો', 'તેના', 'પર', 'થોડો', 'પ્રભાવ', 'પડે', 'છે', 'અન્ય', 'ફાયદા', 'પણ', 'છે']","['Pronoun', 'Noun', 'Noun', 'Adjective', 'Adjective', 'Verb', 'Noun', 'Pronoun', 'Interjection', 'Conjunction', 'Adjective', 'Noun', 'Pronoun', 'Adjective', 'Verb', 'Verb', 'Pronoun', 'Pronoun', 'Preposition', 'Conjunction', 'Adjective', 'Verb', 'Verb', 'Adjective', 'Noun', 'Pronoun', 'Verb']"
11,"['કોઈને', 'સલાહ', 'મેળવવા', 'નોંધોની', 'તુલના', 'કરવા', 'લેખોની', 'આપલે', 'કરવા', 'કોઈની', 'નવીનતમ', 'શોધ', 'વગેરે', 'બતાવવા', 'માટે', 'સમાન', 'વિચારધારાવાળા', 'કલેક્ટર્સને', 'મળવાનું', 'થાય', 'છે']","['Pronoun', 'Noun', 'Verb', 'Verb', 'Noun', 'Verb', 'Noun', 'Verb', 'Verb', 'Pronoun', 'Adjective', 'Verb', 'Noun', 'Verb', 'Preposition', 'Adverb', 'Adjective', 'Noun', 'Verb', 'Verb', 'Verb']"
12,"['તેથી', 'મિત્રોના', 'વર્તુળમાં', 'વૃદ્ધિ', 'થાય', 'છે']","['Conjunction', 'Noun', 'Noun', 'Noun', 'Verb', 'Verb']"
